ts_event,open,high,low,close,volume
2026-05-26 14:01:00+00:00,1.34606,1.34665,1.34606,1.34661,0
2026-05-26 14:02:00+00:00,1.34662,1.34687,1.34659,1.34659,0
2026-05-26 14:03:00+00:00,1.34661,1.3468,1.3466,1.34679,0
2026-05-26 14:04:00+00:00,1.34678,1.34679,1.34658,1.34659,0
2026-05-26 14:05:00+00:00,1.34659,1.34659,1.34634,1.34636,0
2026-05-26 14:06:00+00:00,1.34639,1.34648,1.34637,1.34645,0
2026-05-26 14:07:00+00:00,1.34646,1.34658,1.34632,1.34637,0
2026-05-26 14:08:00+00:00,1.34638,1.3464,1.34622,1.34627,0
2026-05-26 14:09:00+00:00,1.34626,1.3463,1.34619,1.3463,0
2026-05-26 14:10:00+00:00,1.34633,1.34647,1.34626,1.34643,0
2026-05-26 14:11:00+00:00,1.34643,1.34644,1.34626,1.34627,0
2026-05-26 14:12:00+00:00,1.34626,1.34629,1.34616,1.34616,0
2026-05-26 14:13:00+00:00,1.34618,1.34622,1.34603,1.34607,0
2026-05-26 14:14:00+00:00,1.34608,1.34623,1.34603,1.34618,0
2026-05-26 14:15:00+00:00,1.34619,1.34623,1.34604,1.34605,0
2026-05-26 14:16:00+00:00,1.34605,1.34621,1.346,1.346,0
2026-05-26 14:17:00+00:00,1.34598,1.34616,1.34597,1.34609,0
2026-05-26 14:18:00+00:00,1.34612,1.34623,1.34612,1.34618,0
2026-05-26 14:19:00+00:00,1.34618,1.3462,1.34606,1.34606,0
2026-05-26 14:20:00+00:00,1.34605,1.34609,1.34595,1.34599,0
2026-05-26 14:21:00+00:00,1.346,1.34616,1.34598,1.34616,0
2026-05-26 14:22:00+00:00,1.34614,1.34637,1.34614,1.34619,0
2026-05-26 14:23:00+00:00,1.34619,1.34625,1.34605,1.34607,0
2026-05-26 14:24:00+00:00,1.34607,1.34618,1.34605,1.34608,0
2026-05-26 14:25:00+00:00,1.34608,1.34619,1.34604,1.34605,0
2026-05-26 14:26:00+00:00,1.34604,1.34612,1.34589,1.34594,0
2026-05-26 14:27:00+00:00,1.34595,1.34595,1.34579,1.34587,0
2026-05-26 14:28:00+00:00,1.3459,1.34596,1.34578,1.3459,0
2026-05-26 14:29:00+00:00,1.3459,1.34606,1.34583,1.346,0
2026-05-26 14:30:00+00:00,1.346,1.34603,1.34592,1.34592,0
2026-05-26 14:31:00+00:00,1.34592,1.34616,1.34587,1.34616,0
2026-05-26 14:32:00+00:00,1.34617,1.34643,1.34617,1.34632,0
2026-05-26 14:33:00+00:00,1.34632,1.34632,1.34596,1.3461,0
2026-05-26 14:34:00+00:00,1.34609,1.34638,1.34609,1.34638,0
2026-05-26 14:35:00+00:00,1.3464,1.34686,1.34639,1.34677,0
2026-05-26 14:36:00+00:00,1.34677,1.34678,1.34648,1.34651,0
2026-05-26 14:37:00+00:00,1.34651,1.34651,1.34634,1.34646,0
2026-05-26 14:38:00+00:00,1.34648,1.34648,1.34633,1.3464,0
2026-05-26 14:39:00+00:00,1.34638,1.34646,1.34634,1.34637,0
2026-05-26 14:40:00+00:00,1.34638,1.34661,1.34635,1.34658,0
2026-05-26 14:41:00+00:00,1.3466,1.3466,1.34639,1.34647,0
2026-05-26 14:42:00+00:00,1.34645,1.34657,1.34636,1.34636,0
2026-05-26 14:43:00+00:00,1.34636,1.34638,1.34617,1.3462,0
2026-05-26 14:44:00+00:00,1.3462,1.34623,1.34607,1.34611,0
2026-05-26 14:45:00+00:00,1.3461,1.34614,1.346,1.34611,0
2026-05-26 14:46:00+00:00,1.34612,1.34623,1.346,1.34617,0
2026-05-26 14:47:00+00:00,1.34619,1.34625,1.34606,1.34608,0
2026-05-26 14:48:00+00:00,1.34607,1.34627,1.34595,1.34619,0
2026-05-26 14:49:00+00:00,1.3462,1.34631,1.34608,1.34609,0
2026-05-26 14:50:00+00:00,1.34612,1.34619,1.346,1.34603,0
2026-05-26 14:51:00+00:00,1.34601,1.34603,1.34587,1.34589,0
2026-05-26 14:52:00+00:00,1.3459,1.34597,1.34584,1.34587,0
2026-05-26 14:53:00+00:00,1.34587,1.34593,1.34548,1.34552,0
2026-05-26 14:54:00+00:00,1.34552,1.34554,1.34538,1.34547,0
2026-05-26 14:55:00+00:00,1.34545,1.34555,1.34537,1.34542,0
2026-05-26 14:56:00+00:00,1.34542,1.34553,1.34536,1.34537,0
2026-05-26 14:57:00+00:00,1.34537,1.34537,1.34501,1.34506,0
2026-05-26 14:58:00+00:00,1.34505,1.34524,1.34505,1.34524,0
2026-05-26 14:59:00+00:00,1.34524,1.34526,1.34494,1.34495,0
2026-05-26 15:00:00+00:00,1.34495,1.34499,1.34488,1.34496,0
2026-05-26 15:01:00+00:00,1.34496,1.34499,1.34487,1.34495,0
2026-05-26 15:02:00+00:00,1.34494,1.34497,1.34441,1.34455,0
2026-05-26 15:03:00+00:00,1.34454,1.34469,1.34446,1.34458,0
2026-05-26 15:04:00+00:00,1.3446,1.3446,1.34448,1.34456,0
2026-05-26 15:05:00+00:00,1.34455,1.3448,1.34447,1.34473,0
2026-05-26 15:06:00+00:00,1.34472,1.34476,1.34461,1.34476,0
2026-05-26 15:07:00+00:00,1.34476,1.34478,1.34436,1.34441,0
2026-05-26 15:08:00+00:00,1.34439,1.34456,1.34436,1.34439,0
2026-05-26 15:09:00+00:00,1.34438,1.34438,1.34417,1.34422,0
2026-05-26 15:10:00+00:00,1.34422,1.34439,1.34415,1.34419,0
2026-05-26 15:11:00+00:00,1.3442,1.34448,1.34416,1.34446,0
2026-05-26 15:12:00+00:00,1.34446,1.34463,1.34442,1.34462,0
2026-05-26 15:13:00+00:00,1.34463,1.3447,1.34443,1.34467,0
2026-05-26 15:14:00+00:00,1.34467,1.34473,1.34436,1.34439,0
2026-05-26 15:15:00+00:00,1.34435,1.34444,1.34417,1.34417,0
2026-05-26 15:16:00+00:00,1.34417,1.34428,1.34411,1.34415,0
2026-05-26 15:17:00+00:00,1.34415,1.34416,1.34376,1.34377,0
2026-05-26 15:18:00+00:00,1.3438,1.34406,1.34378,1.34405,0
2026-05-26 15:19:00+00:00,1.34403,1.34416,1.34382,1.34391,0
2026-05-26 15:20:00+00:00,1.3439,1.34397,1.34378,1.34384,0
2026-05-26 15:21:00+00:00,1.34383,1.34398,1.34378,1.34397,0
2026-05-26 15:22:00+00:00,1.34394,1.34394,1.34384,1.34387,0
2026-05-26 15:23:00+00:00,1.34387,1.34387,1.3436,1.34362,0
2026-05-26 15:24:00+00:00,1.34364,1.34366,1.34343,1.34348,0
2026-05-26 15:25:00+00:00,1.34347,1.34376,1.34345,1.34371,0
2026-05-26 15:26:00+00:00,1.3437,1.34403,1.34367,1.34397,0
2026-05-26 15:27:00+00:00,1.34397,1.34401,1.34386,1.34398,0
2026-05-26 15:28:00+00:00,1.34398,1.3443,1.34398,1.3442,0
2026-05-26 15:29:00+00:00,1.3442,1.34427,1.34415,1.34419,0
2026-05-26 15:30:00+00:00,1.3442,1.34446,1.3442,1.34439,0
2026-05-26 15:31:00+00:00,1.34437,1.34438,1.34414,1.34414,0
